Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,price_category
0,Swift 3,4,-0.713439498130007,IPS Panel Full HD 1920x1080,106,-0.07519506268436271,256GB SSD,61,5,-0.659532525897724,1
0,Aspire A515-51G-37JS,3,0.4087716575222072,Full HD 1920x1080,60,-0.8621763211399812,256GB SSD,97,5,0.24242582200725737,0
7,15-BS078nr (i7-7500U/8GB/1TB/W10),3,0.4087716575222072,1366x768,97,-0.07519506268436271,1TB HDD,53,5,0.016936235031011538,0
7,Probook 440,3,-0.713439498130007,Full HD 1920x1080,106,-0.07519506268436271,256GB SSD,61,5,-0.6144346085024752,1
10,V110-15IAP (N3350/4GB/1TB/No,3,0.4087716575222072,1366x768,37,-0.8621763211399812,1TB HDD,43,4,-0.20855335194523364,0
2,FX753VD-GC086T (i5-7300HQ/8GB/1TB,1,1.6011210104026858,Full HD 1920x1080,77,-0.07519506268436271,128GB SSD +  1TB HDD,75,5,1.4450369525472322,1
10,IdeaPad 320-15IKBN,3,0.4087716575222072,Full HD 1920x1080,74,-0.8621763211399812,1TB HDD,66,4,0.24242582200725737,0
7,Envy 13-AD007nv,3,-1.2044068787278503,IPS Panel Full HD 1920x1080,74,-0.8621763211399812,256GB SSD,53,5,-1.0804464215867153,1
0,Aspire 5,3,1.6011210104026858,IPS Panel Full HD 1920x1080,60,-0.8621763211399812,1TB HDD,97,5,1.4450369525472322,1
10,ThinkPad E480,3,-0.713439498130007,IPS Panel Full HD 1920x1080,83,-0.07519506268436271,256GB SSD,35,5,-0.4340429389214788,1
10,Legion Y520-15IKBN,1,0.4087716575222072,IPS Panel Full HD 1920x1080,102,-0.07519506268436271,256GB SSD,77,4,0.5430786046422508,1
16,Satellite Pro,3,0.4087716575222072,1366x768,68,-0.8621763211399812,500GB HDD,47,5,0.09209943068976037,1
7,255 G6,3,0.4087716575222072,1366x768,8,-0.8621763211399812,256GB SSD,16,5,-0.2686839084722321,0
2,ZenBook UX430UA,4,-0.713439498130007,Full HD 1920x1080,106,-0.07519506268436271,256GB SSD,61,5,-1.185674895508963,1
7,EliteBook Folio,4,-1.765512456553958,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,47,-0.07519506268436271,512GB SSD,46,5,-1.6065887911979544,2
2,X541NA (N3350/4GB/1TB/FHD/W10),3,0.4087716575222072,Full HD 1920x1080,37,-0.8621763211399812,1TB HDD,43,5,-0.058226960627736635,0
11,GE72MVR 7RG,1,1.6011210104026858,Full HD 1920x1080,102,1.4987674542268743,256GB SSD +  1TB HDD,80,5,1.2947105612297352,2
0,Aspire A315-51,3,0.4087716575222072,1366x768,56,-0.8621763211399812,1TB HDD,47,5,0.09209943068976037,0
4,Inspiron 5577,1,0.4087716575222072,Full HD 1920x1080,102,1.4987674542268743,512GB SSD,75,5,0.783600830750246,1
4,Inspiron 7567,1,0.4087716575222072,Full HD 1920x1080,102,-0.07519506268436271,1.0TB Hybrid,75,5,0.8737966655407442,1
10,V110-15IKB (i5-7200U/4GB/128GB/W10),3,0.4087716575222072,1366x768,74,-0.8621763211399812,128GB SSD,53,5,-0.20855335194523364,0
